titulo;estado;fecha;solicitud
Procedimiento de transmisión distribuida de par motor y desmultiplicación de velocidad angular (P1);Vigente;3/11/2016;Patente nacional española
Motor asíncrono n-fásico de jaula de ardilla.;Vigente;21/12/2016;Patente nacional española
Procedimiento de código horario de puntos y dispositivo marcador para llevar a cabo el mismo;Vigente;29/3/2017;Patente nacional española
Dispositivo de cierre antirrobo para las tapas de contenedores de papel – cartón de tipo carga lateral.;Vigente;16/6/2017;Patente nacional española
Dispositivo antirrobo para bocas de entrada de residuos de contenedores de papel – cartón de tipo carga lateral o iglú;Vigente;16/6/2017;Patente nacional española
Acumulador mecánico mediante volante de inercia;Vigente;20/6/2017;Patente nacional española
Sistema de arranque/parada para un automóvil mediante acumulador mecánico”;Vigente;15/12/2017;Patente nacional española
Prelosa aligerada prefabricada y método de fabricación de la misma;Vigente;23/1/2018;Patente nacional española
Complemento perforante para guante para accionamiento dispositivo táctil;Vigente;8/2/2018;Patente nacional española
Ascensor eléctrico energéticamente mejorado con sistema de contrapeso;Vigente;27/2/2018;Patente nacional española
Plantilla ergonómica para calzado generadora de electricidad;Vigente;9/5/2018;Patente nacional española
Complemento para guante para accionamiento dispositivo táctil;Vigente;28/6/2018;Patente nacional española
Dispositivo elevador de tensión;Vigente;2/7/2018;Patente nacional española
Dispositivo múltiple bi-electrodo para energía a través de una planta;Vigente;8/8/2018;Patente nacional española
FEEDING CARRIAGE FOR COMPRESSOR MACHINE AND USE OF SAME;Vigente;18/6/2019;Patente USA
FEEDING CARRIAGE FOR COMPRESSOR MACHINE AND USE OF SAME;Caducada;18/8/2020;Patente Europea
"HORNO CREMATORIO ENERGÉTICAMENTE MEJORADO Y ACCESORIOS COMPLEMENTARIOS";Vigente;15/12/2022;Patente nacional española
DISPOSITIVO MOTRIZ INTELIGENTE MULTIDIRECCIONAL;Vigente;13/5/2024;Modelo de utilidad
"PRO-BIOFILM COATING, PRODUCTION METHOD THEREOF, AND SUBSTRATE COATED WITH SAME (en japonés) プロバイオフィルムコーティング、その生成方法、およびプロバイオフィルムコーティング被覆基板";Vigente;5/8/2024;Patente Japón
Método de tratamiento con agua activada por plasma de materiales auxiliares de origen forestal para la conservación del vino y uso del agua activada por plasma ;Vigente;20/8/2024;Patente nacional española
PROCEDIMIENTO DE RECUBRIMIENTO ANTIFRICCIÓN Y RECUBRIMIENTO OBTENIDO MEDIANTE DICHO PROCEDIMIENTO Y USO;Caducada;8/11/2024;Patente nacional española
MÉTODO DE TRATAMIENTO ANTIDESLIZAMIENTO PARA SUELAS DE CALZADO;Vigente;31/3/2025;Patente nacional española
"PRO-BIOFILM COATING, PRODUCTION METHOD THEREOF, AND SUBSTRATE COATED WITH SAME";Vigente;14/10/2025;Patente USA
"PRO-BIOFILM COATING, PRODUCTION METHOD THEREOF, AND SUBSTRATE COATED WITH SAME";En tramitación;-;Patente Europea
Glicopéptidos sintéticos y compuestos derivados para la detección de biomarcadores de cáncer en tumores positivos para MUC1 en etapa temprana;En tramitación;-;Patente nacional española
Método de tratamiento con agua activada por plasma de materiales auxiliares de origen forestal para la conservación del vino y uso del agua activada por plasma ;En tramitación;-;Solicitud PCT
"Compuestos orgánicos volátiles como marcadores para el diagnóstico y pronóstico del cáncer de páncreas";En tramitación;-;Patente nacional española
"Sistema y método para generar líquido activado por plasma, y uso de dicho líquido activado por plasma";En tramitación;-;Patente nacional española
Glicopéptidos sintéticos y compuestos derivados para la detección de biomarcadores de cáncer en tumores positivos para MUC1 en etapa temprana;En tramitación;-;Solicitud PCT
Vaccine compositions;En tramitación;-;Patente internacional: otros
Vaccine compositions;En tramitación;-;Solicitud PCT
"Compuestos orgánicos volátiles como marcadores para el diagnóstico y pronóstico del cáncer de páncreas";En tramitación;-;Solicitud PCT
Método de tratamiento con agua activada por plasma de materiales auxiliares de origen forestal para la conservación del vino y uso del agua activada por plasma ;En tramitación;-;Patente Japón
SYNTHETIC GLYCOPEPTIDES AND DERIVATIVES FOR THE EARLY-STAGE DETECTION OF CANCER BIOMARKERS IN MUC1-POSITIVE TUMORS;En tramitación;-;Patente Europea
SYNTHETIC GLYCOPEPTIDES AND DERIVATIVES FOR THE EARLY-STAGE DETECTION OF CANCER BIOMARKERS IN MUC1-POSITIVE TUMORS;En tramitación;-;Patente USA
SYNTHETIC GLYCOPEPTIDES AND DERIVATIVES FOR THE EARLY-STAGE DETECTION OF CANCER BIOMARKERS IN MUC1-POSITIVE TUMORS;En tramitación;-;Patente Japón
"Sistema y método para generar líquido activado por plasma, y uso de dicho líquido activado por plasma";En tramitación;-;Solicitud PCT

Método de tratamiento con agua activada por plasma de materiales auxiliares de origen forestal para la conservación del vino y uso del agua activada por plasma ;En tramitación;-;Patente USA
